incident_id,downtime_start,downtime_end,duration_minutes,source,title,impact
11083702,2022-09-08T19:44:00Z,2022-09-09T01:12:00Z,328,updates,Incident with Pull Requests,minor
11120967,2022-09-13T15:57:00Z,2022-09-14T18:05:00Z,1568,updates,Incident on 2022-09-13,none
11120525,2022-09-13T15:10:00Z,2022-09-13T16:08:00Z,58,updates,Incident with Issues,minor
11189649,2022-09-20T08:03:00Z,2022-09-20T08:04:00Z,1,updates,Incident with Actions,minor
11192142,2022-09-20T12:10:00Z,2022-09-20T14:15:00Z,125,updates,An update from GitHub,none
11224125,2022-09-22T19:04:00Z,2022-09-22T22:23:00Z,199,updates,Incident with Issues and Pull Requests,minor
11286596,2022-09-27T14:33:00Z,2022-09-27T15:06:00Z,33,updates,Incident with Actions,minor
11294323,2022-09-28T03:53:00Z,2022-09-28T05:09:00Z,76,updates,Incident with Codespaces,minor
11302308,2022-09-28T17:22:00Z,2022-09-28T19:56:00Z,154,updates,Incident with Codespaces,major
11413491,2022-10-04T15:04:00Z,2022-10-04T15:54:00Z,50,updates,Incident with Codespaces,minor
11430054,2022-10-04T20:34:00Z,2022-10-04T21:34:00Z,60,updates,Incident with Codespaces,minor
11314069,2022-09-29T14:04:00Z,2022-10-05T05:00:00Z,8096,updates,GitHub Enterprise Importer Maintenance,maintenance
11457811,2022-10-05T06:30:00Z,2022-10-05T07:01:00Z,31,updates,Incident with Actions,major
11473013,2022-10-05T13:19:00Z,2022-10-05T17:41:00Z,262,updates,Incident with Actions,minor
11532198,2022-10-06T10:48:00Z,2022-10-06T11:40:00Z,52,updates,Incident with Actions,minor
11919354,2022-10-12T23:27:00Z,2022-10-13T02:58:00Z,211,updates,Incident with Codespaces,major
11978369,2022-10-13T20:47:00Z,2022-10-13T21:30:00Z,43,updates,Incident with Issues,major
12254530,2022-10-18T15:53:00Z,2022-10-18T16:16:00Z,23,updates,Incident with Actions,minor
12319842,2022-10-19T17:39:00Z,2022-10-19T20:23:00Z,164,updates,Incident with API Requests,minor
12460634,2022-10-21T23:06:00Z,2022-10-21T23:59:00Z,53,updates,Incident with Git Operations,minor
12546104,2022-10-23T14:18:00Z,2022-10-23T17:36:00Z,198,updates,Incident with Codespaces,minor
12613890,2022-10-25T17:19:00Z,2022-10-25T18:44:00Z,85,updates,Incident with Issues and Pull Requests,minor
12618394,2022-10-26T00:47:00Z,2022-10-26T04:34:00Z,227,updates,Incident with Codespaces and Issues,major
12624069,2022-10-26T14:07:00Z,2022-10-26T14:40:00Z,33,updates,Incident with Issues,minor
12631333,2022-10-27T04:59:00Z,2022-10-27T06:31:00Z,92,updates,Incident with Pull Requests,minor
12382877,2022-10-20T16:54:00Z,2022-10-27T16:00:00Z,10026,updates,GitHub Importer Maintenance,maintenance
12686329,2022-11-01T19:46:00Z,2022-11-01T21:25:00Z,99,updates,Incident with Issues and Pull Requests,minor
12707425,2022-11-03T16:10:00Z,2022-11-03T16:38:00Z,28,updates,Incident with Actions,major
12707861,2022-11-03T16:54:00Z,2022-11-03T17:12:00Z,18,updates,Incident with Actions,minor
12637627,2022-10-27T17:00:00Z,2022-11-04T04:01:00Z,10741,updates,GitHub Importer Maintenance,maintenance
12721331,2022-11-04T23:41:00Z,2022-11-04T23:56:00Z,15,updates,Incident with Codespaces,minor
12732564,2022-11-06T08:54:00Z,2022-11-06T09:13:00Z,19,updates,Incident with Issues,minor
12739088,2022-11-07T04:41:00Z,2022-11-07T05:12:00Z,31,updates,Incident with Git Operations and Pull Requests,minor
12746148,2022-11-07T19:07:00Z,2022-11-07T20:06:00Z,59,updates,Incident with Issues,minor
12746857,2022-11-07T20:29:00Z,2022-11-08T01:21:00Z,292,updates,Incident on 2022-11-07 19:07 UTC,none
